Books,IAB1-1
Business,IAB3
Catalogs,
Education,IAB5
Entertainment,IAB19-29
Finance,IAB13
Food &amp; Drink,IAB8
Games - Action,IAB9
Games - Adventure,IAB9
Games - Arcade,IAB9
Games - Board,"IAB9-5,IAB9"
Games - Card,"IAB9-7,IAB9"
Games - Casino,IAB9
Games - Dice,IAB9
Games - Educational,IAB9
Games - Family,IAB9
Games - Kids,"IAB6-5,IAB9"
Games - Music,"IAB1-6,IAB9"
Games - Puzzle,"IAB9-5,IAB9"
Games - Racing,"IAB17-1,IAB9"
Games - Role Playing,IAB9-25
Games - Simulation,IAB9
Games - Sports,IAB17
Games - Strategy,IAB9
Games - Trivia,IAB9
Games - Word,IAB9
Health &amp; Fitness,IAB7
Lifestyle,IAB8
Medical,IAB7
Music,IAB1-6
Navigation,
News,IAB12
Newsstand - Arts &amp; Photography,IAB9-23
Newsstand - Automotive,IAB2
Newsstand - Brides &amp; Weddings,IAB14-7
Newsstand - Business &amp; Investing,IAB13-3
Newsstand - Children's Magazines,IAB6
Newsstand - Computers &amp; Internet,IAB19
"Newsstand - Cooking, Food &amp; Drink",IAB8
Newsstand - Crafts &amp; Hobbies,IAB9 
Newsstand - Electronics &amp; Audio,IAB19
Newsstand - Entertainment,IAB19-29
Newsstand - Fashion &amp; Style,IAB18
"Newsstand - Health, Mind &amp; Body",IAB7
Newsstand - History,IAB5-3
Newsstand - Home &amp; Garden,
Newsstand - Literary Magazines &amp; Journals,
Newsstand - Men's Interest,
Newsstand - Movies &amp; Music,IAB1-6
Newsstand - News &amp; Politics,IAB11-4
Newsstand - Outdoors &amp; Nature,
Newsstand - Parenting &amp; Family,IAB6
Newsstand - Pets,IAB12
Newsstand - Professional &amp; Trade,IAB3
Newsstand - Regional News,IAB12-3
Newsstand - Science,IAB15
Newsstand - Sports &amp; Leisure,IAB19
Newsstand - Teens,IAB6-6
Newsstand - Travel &amp; Regional,IAB20
Newsstand - Women's Interest,
Photo &amp; Video,IAB9-23
Productivity,
Reference,
Social Networking,IAB24
Sports,IAB17
Travel,IAB20
Utilities,
Weather,IAB15-10
